id_prueba,timestamp,modo,tipo de evento,escenario,distancia_m,iluminacion,objeto_verdad,objeto_predicho,confianza,t_total_ms,acierto,notas
182,2025-12-28T16:05:26.804110,MOBILE,detectScene,3,,LED,,starting,,00:00:00.012,,
183,2025-12-28T16:05:26.945445,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.141,,
184,2025-12-28T16:05:27.203479,MOBILE,running inference,3,,LED,,,,00:00:00.258,,
185,2025-12-28T16:05:32.536611,MOBILE,finished inference,3,,LED,,,,00:00:05.333,,
186,2025-12-28T16:05:32.570240,MOBILE,ALL PREDICTIONS START,3,,LED,,,,00:00:00.033,,
187,2025-12-28T16:05:32.578315,MOBILE,PREDICTION,3,,LED,,Class: person (ID: 15) | Confidence: 0.23% | Pixels: 616/270400,,00:00:00.008,,
188,2025-12-28T16:05:32.581224,MOBILE,ALL PREDICTIONS END,3,,LED,,,,00:00:00.002,,
189,2025-12-28T16:05:32.583519,MOBILE,DOMINANT CLASS,3,,LED,,"person (ID: 15, 0.2%)",,00:00:00.002,,
190,2025-12-28T16:05:32.586261,MOBILE,result,3,,LED,,person,0.002,00:00:00.002,,
191,2025-12-28T16:05:32.589736,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.003,,
192,2025-12-28T16:05:32.601680,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.011,,
193,2025-12-28T16:05:32.610009,MOBILE,converted output to speech,3,,LED,,,,00:00:00.008,,
194,2025-12-28T16:08:30.032020,MOBILE,capture,3,,LED,,starting,,00:02:57.422,,
195,2025-12-28T16:08:33.589756,MOBILE,capture,3,,LED,,finished (31985 bytes),,00:00:03.557,,
196,2025-12-28T16:08:33.594571,MOBILE,detectScene,3,,LED,,starting,,00:00:00.004,,
197,2025-12-28T16:08:33.729685,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.135,,
198,2025-12-28T16:08:33.996279,MOBILE,running inference,3,,LED,,,,00:00:00.266,,
199,2025-12-28T16:08:39.520958,MOBILE,finished inference,3,,LED,,,,00:00:05.524,,
200,2025-12-28T16:08:39.553348,MOBILE,ALL PREDICTIONS START,3,,LED,,,,00:00:00.032,,
201,2025-12-28T16:08:39.560368,MOBILE,PREDICTION,3,,LED,,Class: person (ID: 15) | Confidence: 5.61% | Pixels: 15181/270400,,00:00:00.007,,
202,2025-12-28T16:08:39.563413,MOBILE,PREDICTION,3,,LED,,Class: bottle (ID: 5) | Confidence: 0.38% | Pixels: 1014/270400,,00:00:00.003,,
203,2025-12-28T16:08:39.566130,MOBILE,ALL PREDICTIONS END,3,,LED,,,,00:00:00.002,,
204,2025-12-28T16:08:39.588888,MOBILE,DOMINANT CLASS,3,,LED,,"person (ID: 15, 5.6%)",,00:00:00.022,,
205,2025-12-28T16:08:39.594919,MOBILE,result,3,,LED,,person,0.056,00:00:00.006,,
206,2025-12-28T16:08:39.613349,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.018,,
207,2025-12-28T16:08:39.630379,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.017,,
208,2025-12-28T16:08:39.657300,MOBILE,converted output to speech,3,,LED,,,,00:00:00.026,,
209,2025-12-28T16:08:50.269237,MOBILE,capture,3,,LED,,starting,,00:00:10.611,,
210,2025-12-28T16:08:50.690539,MOBILE,capture,3,,LED,,finished (30600 bytes),,00:00:00.421,,
211,2025-12-28T16:08:50.701487,MOBILE,detectScene,3,,LED,,starting,,00:00:00.010,,
212,2025-12-28T16:08:50.834052,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.132,,
213,2025-12-28T16:08:51.102352,MOBILE,running inference,3,,LED,,,,00:00:00.268,,
214,2025-12-28T16:08:56.482140,MOBILE,finished inference,3,,LED,,,,00:00:05.379,,
215,2025-12-28T16:08:56.516841,MOBILE,ALL PREDICTIONS START,3,,LED,,,,00:00:00.034,,
216,2025-12-28T16:08:56.524913,MOBILE,PREDICTION,3,,LED,,Class: person (ID: 15) | Confidence: 8.31% | Pixels: 22481/270400,,00:00:00.008,,
217,2025-12-28T16:08:56.527400,MOBILE,ALL PREDICTIONS END,3,,LED,,,,00:00:00.002,,
218,2025-12-28T16:08:56.529857,MOBILE,DOMINANT CLASS,3,,LED,,"person (ID: 15, 8.3%)",,00:00:00.002,,
219,2025-12-28T16:08:56.532858,MOBILE,result,3,,LED,,person,0.083,00:00:00.003,,
220,2025-12-28T16:08:56.535557,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.002,,
221,2025-12-28T16:08:56.542508,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.006,,
222,2025-12-28T16:08:56.557269,MOBILE,converted output to speech,3,,LED,,,,00:00:00.014,,
223,2025-12-28T16:08:59.432729,MOBILE,capture,3,,LED,,starting,,00:00:02.875,,
224,2025-12-28T16:08:59.782233,MOBILE,capture,3,,LED,,finished (30907 bytes),,00:00:00.349,,
225,2025-12-28T16:08:59.793215,MOBILE,detectScene,3,,LED,,starting,,00:00:00.010,,
226,2025-12-28T16:08:59.928690,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.135,,
227,2025-12-28T16:09:00.194471,MOBILE,running inference,3,,LED,,,,00:00:00.265,,
228,2025-12-28T16:09:05.601974,MOBILE,finished inference,3,,LED,,,,00:00:05.407,,
229,2025-12-28T16:09:05.634583,MOBILE,ALL PREDICTIONS START,3,,LED,,,,00:00:00.032,,
230,2025-12-28T16:09:05.642377,MOBILE,PREDICTION,3,,LED,,Class: person (ID: 15) | Confidence: 10.22% | Pixels: 27648/270400,,00:00:00.007,,
231,2025-12-28T16:09:05.659787,MOBILE,ALL PREDICTIONS END,3,,LED,,,,00:00:00.017,,
232,2025-12-28T16:09:05.673334,MOBILE,DOMINANT CLASS,3,,LED,,"person (ID: 15, 10.2%)",,00:00:00.013,,
233,2025-12-28T16:09:05.696065,MOBILE,result,3,,LED,,person,0.102,00:00:00.022,,
234,2025-12-28T16:09:05.701399,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.005,,
235,2025-12-28T16:09:05.707271,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.005,,
236,2025-12-28T16:09:05.730927,MOBILE,converted output to speech,3,,LED,,,,00:00:00.023,,
237,2025-12-28T16:09:07.692863,MOBILE,capture,3,,LED,,starting,,00:00:01.961,,
238,2025-12-28T16:09:07.890595,MOBILE,capture,3,,LED,,finished (31808 bytes),,00:00:00.197,,
239,2025-12-28T16:09:07.892970,MOBILE,detectScene,3,,LED,,starting,,00:00:00.002,,
