T+00:19:25.241 | CAMERA | Image captured: 1024x768, 27195 bytes
T+00:19:27.312 | CAMERA | Image captured: 1024x768, 27037 bytes
T+00:19:30.425 | CAMERA | Image captured: 1024x768, 26965 bytes
T+00:19:34.489 | CAMERA | Image captured: 1024x768, 27185 bytes
T+00:19:36.552 | CAMERA | Image captured: 1024x768, 26720 bytes
T+00:19:38.112 | CAMERA | Image captured: 1024x768, 26792 bytes
T+00:19:40.179 | CAMERA | Image captured: 1024x768, 26678 bytes
T+00:19:41.742 | CAMERA | Image captured: 1024x768, 26837 bytes
T+00:19:43.814 | CAMERA | Image captured: 1024x768, 25663 bytes
T+00:19:45.398 | CAMERA | Image captured: 1024x768, 27226 bytes
T+00:19:47.454 | CAMERA | Image captured: 1024x768, 27020 bytes
T+00:19:49.526 | CAMERA | Image captured: 1024x768, 28054 bytes
T+00:19:51.594 | CAMERA | Image captured: 1024x768, 27751 bytes
T+00:19:53.161 | CAMERA | Image captured: 1024x768, 27371 bytes
T+00:19:54.720 | CAMERA | Image captured: 1024x768, 26757 bytes
T+00:19:56.363 | CAMERA | Image captured: 1024x768, 26858 bytes
T+00:19:57.996 | CAMERA | Image captured: 1024x768, 27513 bytes
T+00:20:11.576 | CAMERA | Image captured: 1024x768, 28390 bytes
T+00:20:13.647 | CAMERA | Image captured: 1024x768, 28172 bytes
T+00:20:15.718 | CAMERA | Image captured: 1024x768, 29621 bytes
T+00:20:17.859 | CAMERA | Image captured: 1024x768, 30564 bytes
T+00:20:19.949 | CAMERA | Image captured: 1024x768, 30470 bytes
T+00:20:22.057 | CAMERA | Image captured: 1024x768, 29424 bytes
T+00:20:41.840 | CAMERA | Image captured: 1024x768, 16264 bytes
T+00:20:45.954 | CAMERA | Image captured: 1024x768, 18352 bytes
T+00:20:48.049 | CAMERA | Image captured: 1024x768, 29718 bytes
T+00:20:52.716 | CAMERA | Image captured: 1024x768, 30843 bytes
T+00:20:56.789 | CAMERA | Image captured: 1024x768, 29137 bytes
T+00:20:59.861 | CAMERA | Image captured: 1024x768, 30932 bytes
T+00:21:03.986 | CAMERA | Image captured: 1024x768, 30315 bytes
T+00:21:06.557 | CAMERA | Image captured: 1024x768, 30085 bytes
T+00:21:09.117 | CAMERA | Image captured: 1024x768, 29317 bytes
T+00:21:10.701 | CAMERA | Image captured: 1024x768, 29663 bytes
T+00:21:12.756 | CAMERA | Image captured: 1024x768, 28816 bytes
T+00:21:15.330 | CAMERA | Image captured: 1024x768, 31158 bytes
T+00:21:18.402 | CAMERA | Image captured: 1024x768, 31603 bytes
T+00:22:03.562 | CAMERA | Image captured: 1024x768, 31339 bytes
T+00:22:06.644 | CAMERA | Image captured: 1024x768, 31676 bytes
T+00:22:09.220 | CAMERA | Image captured: 1024x768, 28312 bytes
T+00:22:11.781 | CAMERA | Image captured: 1024x768, 28447 bytes
T+00:22:15.849 | CAMERA | Image captured: 1024x768, 28449 bytes
T+00:22:20.433 | CAMERA | Image captured: 1024x768, 29219 bytes
T+00:22:27.499 | CAMERA | Image captured: 1024x768, 29830 bytes
T+00:22:45.094 | CAMERA | Image captured: 1024x768, 30173 bytes
T+00:22:52.281 | CAMERA | Image captured: 1024x768, 30870 bytes
T+00:22:54.872 | CAMERA | Image captured: 1024x768, 26928 bytes
T+00:22:56.975 | CAMERA | Image captured: 1024x768, 26179 bytes
T+00:22:59.541 | CAMERA | Image captured: 1024x768, 29929 bytes
T+00:23:03.108 | CAMERA | Image captured: 1024x768, 28754 bytes
T+00:23:19.699 | CAMERA | Image captured: 1024x768, 30313 bytes
T+00:23:22.274 | CAMERA | Image captured: 1024x768, 31529 bytes
T+00:23:27.351 | CAMERA | Image captured: 1024x768, 24323 bytes
T+00:23:30.937 | CAMERA | Image captured: 1024x768, 24820 bytes
T+00:23:33.009 | CAMERA | Image captured: 1024x768, 24306 bytes
T+00:00:55.068 | CAMERA | Image captured: 1024x768, 16117 bytes
T+00:00:56.621 | CAMERA | Image captured: 1024x768, 16117 bytes
T+00:00:57.673 | CAMERA | Image captured: 1024x768, 19007 bytes
T+00:00:58.734 | CAMERA | Image captured: 1024x768, 19552 bytes
T+00:00:59.792 | CAMERA | Image captured: 1024x768, 19256 bytes
T+00:01:00.844 | CAMERA | Image captured: 1024x768, 19385 bytes
T+00:01:01.910 | CAMERA | Image captured: 1024x768, 19180 bytes
T+00:01:03.463 | CAMERA | Image captured: 1024x768, 18422 bytes
T+00:01:04.519 | CAMERA | Image captured: 1024x768, 18723 bytes
T+00:01:05.572 | CAMERA | Image captured: 1024x768, 22588 bytes
T+00:01:08.137 | CAMERA | Image captured: 1024x768, 22959 bytes
T+00:01:09.211 | CAMERA | Image captured: 1024x768, 23916 bytes
T+00:01:10.274 | CAMERA | Image captured: 1024x768, 20678 bytes
T+00:01:11.843 | CAMERA | Image captured: 1024x768, 20002 bytes
T+00:01:12.898 | CAMERA | Image captured: 1024x768, 19306 bytes
T+00:01:13.955 | CAMERA | Image captured: 1024x768, 20091 bytes
T+00:01:15.025 | CAMERA | Image captured: 1024x768, 20385 bytes
T+00:01:16.079 | CAMERA | Image captured: 1024x768, 20227 bytes
T+00:01:17.636 | CAMERA | Image captured: 1024x768, 20027 bytes
T+00:01:23.698 | CAMERA | Image captured: 1024x768, 20998 bytes
T+00:01:52.815 | CAMERA | Image captured: 1024x768, 20163 bytes
T+00:02:12.405 | CAMERA | Image captured: 1024x768, 20040 bytes
T+00:02:36.555 | CAMERA | Image captured: 1024x768, 20644 bytes
T+00:02:38.121 | CAMERA | Image captured: 1024x768, 23798 bytes
T+00:02:39.202 | CAMERA | Image captured: 1024x768, 24966 bytes
T+00:02:40.758 | CAMERA | Image captured: 1024x768, 25778 bytes
T+00:02:42.314 | CAMERA | Image captured: 1024x768, 24580 bytes
T+00:02:44.393 | CAMERA | Image captured: 1024x768, 26247 bytes
T+00:02:45.468 | CAMERA | Image captured: 1024x768, 24650 bytes
T+00:02:51.534 | CAMERA | Image captured: 1024x768, 25401 bytes
T+00:00:38.749 | CAMERA | Image captured: 1024x768, 16131 bytes
T+00:00:40.294 | CAMERA | Image captured: 1024x768, 16421 bytes
T+00:00:41.844 | CAMERA | Image captured: 1024x768, 19041 bytes
